ID,Word
132,arrombada
14,arrombado
36,autista
48,babaca
44,besta
10,bicha
21,biscate
11,bixa
61,bobo
60,boceta
43,boçal
1,boludo
29,broxa
59,buceta
128,bucetuda
24,burro
140,cachorra
31,chupa
55,concha
144,conchudo
8,corno
42,cretino
18,cú
37,debil
22,desgraçado
38,débil
39,doentao
32,doente
35,down
139,elefanta
138,elefante
56,esclavo
57,escravo
65,esea
66,faceit
15,fdp
34,fudido
40,idiota
41,imbecil
20,lazarento
4,lixo
52,macaco
129,macaquito
137,mamuta
136,mamute
58,merda
54,mierda
67,mixbr
148,mogolico
33,mongol
149,mongolico
53,negrito
141,negro
134,nogento
135,nojenta
133,nojento
45,otário
145,pajero
27,pau
143,pelotudo
28,pica
30,pika
25,pnc
51,pretaaff
50,preto
23,prostituta
6,puta
7,puto
64,retardado
26,ridiculo
146,tarado
147,tonto
46,trouxa
47,troxa
5,vaca
2,vadia
3,vagabunda
13,viadao
12,viadão
49,viadinho
9,viado
16,vsf
17,vtnc
200,xaromba
